ID,Event,Type,Date,Image,Description
1,National Trivia Day,activity,2023-01-04,trivia_icon.png,National Trivia Day is a celebration of knowledge and fun facts. People often participate in trivia games or quizzes to mark the occasion.
2,National Hugging Day,activity,2023-01-21,hugging_day.png,National Hugging Day encourages people to embrace the power of hugs for their physical and emotional benefits. Individuals often share warm embraces with friends and loved ones on this day.
3,Celebration of Life Day,activity,2023-01-22,tree_circle_icon.png,"Celebration of Life Day is a time to appreciate and focus on the positive aspects of life. People may celebrate by reflecting on their lives, spending time with loved ones, or engaging in activities that bring them joy."
4,National Opposite Day,activity,2023-01-25,opposite_arrows.png,"On National Opposite Day, individuals playfully do things in the opposite way, adding a lighthearted and humorous twist to their actions. It's a day for embracing creativity and breaking from the norm."
5,National Puzzle Day,activity,2023-01-29,jigsaw_puzzle.png,"National Puzzle Day celebrates the joy of solving puzzles, from crosswords to jigsaw puzzles. Many people spend the day challenging their minds with various puzzles and games."
6,Groundhog Day,activity,2023-02-02,ground_hog_icon.png,"Groundhog Day revolves around the tradition of a groundhog predicting the weather. Festivities often include ceremonies where a groundhog emerges, and its shadow (or lack thereof) is used to forecast the duration of winter."
7,National Send a Card to a Friend Day,activity,2023-02-07,love_card.png,National Send a Card to a Friend Day encourages people to express their feelings through handwritten cards. It's an opportunity to reconnect and strengthen friendships through heartfelt messages.
8,National Boy Scout Day,activity,2023-02-08,boys_scout_logo.png,National Boy Scout Day honors the Boy Scouts of America and their contributions to personal development and community service. Many scouting groups participate in special activities and events.
9,Random Act of Kindness Day,activity,2023-02-17,kindness_icon.png,"Random Act of Kindness Day encourages people to spread positivity by performing unexpected acts of kindness for others. Small gestures, such as helping a neighbor or buying someone a coffee, are common ways to celebrate."
10,Tug of War Day,activity,2023-02-19,tug_of_war.png,"Tug of War Day celebrates the sport of tug of war, emphasizing teamwork and friendly competition. Communities often organize tug of war events, bringing people together for a day of fun and physical activity."
11,National Read Across America Day,activity,2023-03-02,read_usa.png,"National Read Across America Day promotes reading and literacy. Many schools and communities host events where individuals, especially children, come together to enjoy books and storytelling."
12,National Proofreading Day,activity,2023-03-04,proofread.png,National Proofreading Day highlights the importance of proofreading and editing written content. It's an opportunity to improve communication and avoid errors in writing.
13,National Grammar Day,activity,2023-03-04,grammar_icon.png,"National Grammar Day celebrates the rules and nuances of the English language. Language enthusiasts often engage in grammar-related activities, discussions, and events."
14,National Promposal Day,activity,2023-03-11,promposal.png,"National Promposal Day is a day for creative and thoughtful prom invitations. It's common for individuals to plan elaborate or inventive ways to ask someone to prom, adding excitement to the prom season."
15,National Girl Scout Day,activity,2023-03-12,boys_scout_logo.png,National Girl Scout Day honors the Girl Scouts and their commitment to building leadership skills in young girls. Many Girl Scout troops participate in activities and events to mark this special day.
16,National Napping Day,activity,2023-03-13,nap_day.png,National Napping Day recognizes the benefits of a short nap for improved health and well-being. Some people celebrate by taking a brief nap during the day to recharge and refresh.
17,National Pi Day,activity,2023-03-14,pie_day.png,"National Pi Day celebrates the mathematical constant pi (π). Math enthusiasts often engage in activities related to pi, and some enjoy eating pie to play on the wordplay."
18,Awkward Moments Day,activity,2023-03-18,awkward.png,Awkward Moments Day encourages embracing and laughing at awkward situations. It's a lighthearted day to reflect on the humorous side of awkward moments and share stories with others.
19,National Proposal Day,activity,2023-03-20,proposal_day.png,National Proposal Day is a day for couples to express their love and commitment through marriage proposals. Many people choose this day to pop the question in memorable and romantic ways.
20,National Goof Off Day,activity,2023-03-22,goof_off.png,National Goof Off Day is a day to relax and have fun by taking a break from routine and enjoying lighthearted activities. It's an opportunity to embrace spontaneity and laughter.
21,April Fools' Day,activity,2023-04-01,april_fools.png,"April Fools' Day is known for playful and harmless pranks and jokes. People often engage in humorous antics, and the day is celebrated with laughter and good-natured mischief."
22,World Party Day,activity,2023-04-03,world_party_day.png,"World Party Day encourages people worldwide to come together and celebrate life through parties and social gatherings. It's a day to enjoy music, dance, and the company of friends and family."
23,National Walking Day,activity,2023-04-05,walking_day.png,National Walking Day promotes the health benefits of walking and encourages people to incorporate walking into their daily routines. Many communities organize walks or hiking events to celebrate.
24,National Make Lunch Count Day,activity,2023-04-13,lunch.png,National Make Lunch Count Day encourages individuals to make the most of their lunch break by enjoying a meaningful and fulfilling meal. It's a reminder to prioritize self-care and relaxation during the workday.
25,National Picnic Day,activity,2023-04-23,picnic_day.png,"National Picnic Day celebrates the joy of outdoor picnics. Many people gather with friends and family to enjoy a meal in nature, appreciating the simple pleasures of good food and company."
26,International Dance Day,activity,2023-04-29,dance_day.png,"International Dance Day is a global celebration of the art of dance. Dancers and dance enthusiasts often participate in performances, workshops, and events to showcase the diversity of dance styles."
27,National Honesty Day,activity,2023-04-30,honest.png,"National Honesty Day encourages open and truthful communication. It's a day to embrace honesty in relationships and everyday interactions, fostering trust and understanding."
28,May Day,activity,2023-05-01,may_day_worker.png,"May Day, also known as International Workers' Day, is a celebration of labor and workers' rights. Many countries observe this day with parades, demonstrations, and events to honor the contributions of workers."
29,National Paranormal Day,activity,2023-05-03,paranormal.png,"National Paranormal Day acknowledges and explores paranormal phenomena. It's a day for those interested in the supernatural to share experiences, discuss paranormal topics, and delve into the mysterious."
30,World Password Day,activity,2023-05-04,password.png,"World Password Day raises awareness about the importance of strong and secure passwords. Individuals often use this day to update passwords, enhance online security, and share tips for safe password practices."
31,International No Diet Day,activity,2023-05-06,no_diet.png,"International No Diet Day promotes body positivity and encourages people to reject diet culture. It's a day to celebrate and embrace all body types, promoting a healthy relationship with food and self-acceptance."
32,National Tourist Appreciation Day,activity,2023-05-06,tourist.png,National Tourist Appreciation Day recognizes and celebrates the contributions of tourists to local economies. It's an opportunity for communities to express gratitude for the positive impact of tourism.
33,National Tourism Day,activity,2023-05-07,travel.png,National Tourism Day celebrates the tourism industry and its role in promoting cultural exchange and economic growth. Many communities organize events to showcase local attractions and welcome visitors.
34,National Limerick Day,activity,2023-05-12,limerick.png,"National Limerick Day celebrates the humorous and whimsical form of poetry known as the limerick. People often create and share limericks, enjoying the playful and rhythmic style."
35,National Scavenger Hunt Day,activity,2023-05-24,scavenger_hunt.png,"National Scavenger Hunt Day encourages people to participate in scavenger hunts for a day of adventure and fun. It's a popular activity for groups of friends, families, and communities."
36,National Paper Airplane Day,activity,2023-05-26,paper_airplane.png,National Paper Airplane Day celebrates the simple joy of making and flying paper airplanes. People of all ages often engage in friendly competitions and share their creativity in crafting unique paper planes.
37,National Yo-Yo Day,activity,2023-06-06,yoyo.png,National Yo-Yo Day celebrates the timeless toy and the skill of yo-yoing. Yo-yo enthusiasts often showcase tricks and share their love for this classic pastime.
38,National Sewing Machine Day,activity,2023-06-13,sewing_machine.png,National Sewing Machine Day honors the invention of the sewing machine and the art of sewing. It's a day to appreciate the craftsmanship of sewing and the creative possibilities it offers.
